cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/13;740.572.205;3.441.195;56.512.813;32.064.696;36.439.870;8.741.314;2.092.531;73.582;139.365.999;596.503;3.742.064;3.933.066;9.624.890;8.810.342;18.257.524;2.175.577;47.139.966;833.110;4.523.225;5.104.732;695.388;33.809;0;0;11.190.264;660.806;15.144.142;3.816.614;1.358.892;13.486;0;3;20.993.943;166.408;6.609.643;8.859.373;935.390;3.045.291;6.433.547;272;26.049.924;658.377;3.679.893;1.613.919;1.955.975;1.369.053;556.884;59.933;9.894.035;636.560;17.503.657;44.754.116;95.571.582;70.329.625;137.160.365;24.830.853;390.786.758;147.703;4.404.908;16.780.840;14.894.905;2.198.293;7.513.365;35.334;45.975.348;21.020;1.069.742;1.668.014;5.364.306;409.259;136.014;11.551;8.679.906
1%;1 - Público;jun/13;46,91%;41,28%;53,68%;31,28%;38,18%;43,09%;41,98%;54,59%;41,36%;40,49%;22,23%;15,67%;29,25%;65,21%;92,16%;82,03%;41,98%;22,83%;12,08%;38,39%;58,32%;16,20%;0,00%;0,00%;19,85%;45,10%;28,09%;26,92%;58,49%;8,84%;0,00%;0,28%;29,10%;27,23%;25,17%;24,43%;4,65%;36,30%;74,13%;3,19%;25,97%;19,30%;24,16%;12,60%;14,96%;31,86%;36,04%;71,08%;19,61%;60,54%;61,26%;60,56%;64,13%;79,09%;93,62%;95,18%;76,02%;78,79%;38,43%;55,87%;79,98%;70,54%;74,23%;100,00%;62,48%;32,05%;43,25%;18,48%;25,71%;10,28%;2,98%;91,15%;21,18%
2;2 - Privado Nacional;jun/13;603.553.645;3.088.656;35.537.777;52.036.716;44.233.480;8.236.229;2.095.954;9.616;145.238.428;563.700;6.244.148;12.636.043;15.493.853;3.297.325;899.117;7.877;39.142.064;1.876.998;25.355.136;5.530.114;31.817;1.218;749;448.870;33.244.902;586.065;25.158.785;4.547.183;527.774;120.350;96.334;254;31.036.746;209.262;10.250.724;14.834.774;11.633.885;2.943.079;1.266.474;0;41.138.199;1.672.655;6.442.505;6.878.591;6.536.913;1.814.552;598.442;20.212;23.963.870;195.956;7.177.052;19.637.474;37.825.366;13.373.735;8.372.515;1.225.065;87.807.163;25.933;5.259.474;10.092.218;2.806.771;710.941;2.510.673;0;21.406.009;12.371;669.717;4.079.295;11.535.167;3.472.343;3.075.629;1.122;22.845.645
2%;2 - Privado Nacional;jun/13;38,23%;37,05%;33,76%;50,76%;46,35%;40,60%;42,05%;7,13%;43,10%;38,26%;37,10%;50,35%;47,08%;24,41%;4,54%;0,30%;34,86%;51,43%;67,73%;41,59%;2,67%;0,58%;1,37%;83,72%;58,97%;40,00%;46,67%;32,07%;22,72%;78,91%;90,13%;26,89%;43,02%;34,24%;39,04%;40,92%;57,83%;35,08%;14,59%;0,00%;41,01%;49,04%;42,30%;53,71%;49,99%;42,23%;38,73%;23,97%;47,50%;18,64%;25,12%;26,57%;25,38%;15,04%;5,71%;4,70%;17,08%;13,83%;45,88%;33,60%;15,07%;22,81%;24,80%;0,00%;29,09%;18,86%;27,08%;45,20%;55,30%;87,24%;67,47%;8,85%;55,75%
3;3 - Privado com Controle Estrangeiro;jun/13;234.519.914;1.806.472;13.224.098;18.422.218;14.768.351;3.307.002;796.212;51.585;52.375.937;313.091;6.845.386;8.529.428;7.790.295;1.402.994;654.330;468.635;26.004.160;939.346;7.555.446;2.661.535;465.174;173.657;53.921;87.284;11.936.365;218.265;13.608.865;5.813.405;436.767;18.682;10.549;688;20.107.221;235.461;9.395.312;12.562.904;7.548.824;2.400.200;978.907;8.274;33.129.881;1.079.494;5.107.315;4.314.367;4.582.721;1.113.197;389.878;4.173;16.591.145;218.873;3.892.446;9.506.504;15.628.679;5.221.737;981.265;32.867;35.482.372;13.830;1.798.756;3.164.623;921.869;206.932;97.891;0;6.203.900;32.196;733.680;3.277.028;3.961.612;98.401;1.346.899;0;9.449.815
3%;3 - Privado com Controle Estrangeiro;jun/13;14,86%;21,67%;12,56%;17,97%;15,47%;16,30%;15,97%;38,27%;15,54%;21,25%;40,67%;33,98%;23,67%;10,38%;3,30%;17,67%;23,16%;25,74%;20,18%;20,02%;39,01%;83,22%;98,63%;16,28%;21,17%;14,90%;25,24%;41,01%;18,80%;12,25%;9,87%;72,82%;27,87%;38,53%;35,78%;34,65%;37,52%;28,61%;11,28%;96,81%;33,02%;31,65%;33,54%;33,69%;35,05%;25,91%;25,23%;4,95%;32,89%;20,82%;13,62%;12,86%;10,49%;5,87%;0,67%;0,13%;6,90%;7,38%;15,69%;10,54%;4,95%;6,64%;0,97%;0,00%;8,43%;49,09%;29,67%;36,31%;18,99%;2,47%;29,55%;0,00%;23,06%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;1.229.941.503;8.090.780;103.106.411;97.476.666;91.864.417;19.257.846;4.687.976;134.191;324.618.286;1.288.966;12.664.641;19.478.104;26.524.456;11.897.256;19.354.744;2.646.839;93.855.006;3.614.651;36.666.720;12.343.145;1.177.562;207.466;53.921;87.283;54.150.748;1.380.148;46.977.498;9.950.072;2.301.164;152.425;106.883;944;60.869.133;611.131;26.214.982;36.201.214;19.997.632;8.376.184;8.670.792;3.122;100.075.057;3.349.943;13.615.869;11.945.142;12.747.562;4.192.412;1.341.252;72.927;47.265.107;797.196;16.498.309;41.118.107;78.718.359;31.216.977;37.276.078;11.311.110;216.936.137;174.735;11.207.323;29.514.203;17.629.002;2.382.219;9.104.850;35.334;70.047.667;65.460;2.464.510;8.894.862;20.860.893;3.979.857;4.558.533;12.673;40.836.788
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;77,91%;97,05%;97,94%;95,08%;96,25%;94,94%;94,05%;99,56%;96,33%;87,49%;75,24%;77,61%;80,60%;88,06%;97,70%;99,80%;83,59%;99,05%;97,95%;92,83%;98,76%;99,42%;98,63%;16,28%;96,06%;94,20%;87,14%;70,18%;99,04%;99,94%;100,00%;99,88%;84,38%;100,00%;99,85%;99,85%;99,40%;99,85%;99,91%;36,53%;99,76%;98,22%;89,40%;93,27%;97,49%;97,57%;86,80%;86,49%;93,69%;75,82%;57,74%;55,64%;52,82%;35,10%;25,44%;43,36%;42,20%;93,21%;97,77%;98,26%;94,66%;76,45%;89,95%;100,00%;95,19%;99,81%;99,65%;98,57%;100,00%;100,00%;100,00%;100,00%;99,66%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;50.418.585;54.949;536.400;1.252.444;652.006;380.024;15.832;0;2.891.655;137.348;3.254.918;4.014.885;3.633.414;671.422;29.903;0;11.741.890;0;0;0;0;0;0;0;0;27.758;4.782.930;4.001.926;7.346;0;0;0;8.819.960;0;40.696;55.837;118.803;11.336;8.137;5.425;240.234;6.329;1.357.219;530.249;122.854;33.309;3.034;0;2.052.994;168.982;2.529.253;6.489.775;10.811.212;3.760.624;369.239;32.376;24.161.460;4.265;22.475;74.075;131.936;72.515;26.899;0;332.166;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;3,19%;0,66%;0,51%;1,22%;0,68%;1,87%;0,32%;0,00%;0,86%;9,32%;19,34%;16,00%;11,04%;4,97%;0,15%;0,00%;10,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,89%;8,87%;28,23%;0,32%;0,00%;0,00%;0,00%;12,23%;0,00%;0,15%;0,15%;0,59%;0,14%;0,09%;63,47%;0,24%;0,19%;8,91%;4,14%;0,94%;0,78%;0,20%;0,00%;4,07%;16,07%;8,85%;8,78%;7,25%;4,23%;0,25%;0,12%;4,70%;2,27%;0,20%;0,25%;0,71%;2,33%;0,27%;0,00%;0,45%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;jun/13;14.881.304;109.735;1.313.429;2.556.404;2.383.274;543.965;171.634;591;7.079.033;9.022;214.697;553.250;866.369;266.472;120.687;3.702;2.034.197;34.788;748.206;897.696;14.817;1.218;749;448.849;2.146.323;48.945;2.087.786;202.143;2.118;94;0;1;2.341.088;0;0;0;0;0;0;0;0;48.490;219.274;257.652;150.944;42.729;155.879;10.147;885.115;2.363;35.313;19.854;20.722;2.235;154;0;80.640;1.472;75.309;161.772;72.283;2.898;1.174;0;314.908;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/13;0,94%;1,32%;1,25%;2,49%;2,50%;2,68%;3,44%;0,44%;2,10%;0,61%;1,28%;2,20%;2,63%;1,97%;0,61%;0,14%;1,81%;0,95%;2,00%;6,75%;1,24%;0,58%;1,37%;83,72%;3,81%;3,34%;3,87%;1,43%;0,09%;0,06%;0,00%;0,12%;3,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,42%;1,44%;2,01%;1,15%;0,99%;10,09%;12,03%;1,75%;0,22%;0,12%;0,03%;0,01%;0,00%;0,00%;0,00%;0,02%;0,79%;0,66%;0,54%;0,39%;0,09%;0,01%;0,00%;0,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/13;995.157;14;68.389;683.600;83.836;31.637;388;0;867.864;0;171;417;270;0;0;0;858;0;12.972;55.223;0;0;0;23;68.219;0;429;0;0;0;0;0;429;0;0;0;0;0;0;0;0;12;20.285;22.903;2.366;0;0;164;45.730;0;1.405;1.477;9.029;147;0;0;12.058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/13;0,06%;0,00%;0,06%;0,67%;0,09%;0,16%;0,01%;0,00%;0,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,42%;0,00%;0,00%;0,00%;0,00%;0,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,13%;0,18%;0,02%;0,00%;0,00%;0,19%;0,09%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/13;274.572.172;4.016;51.960;239.499;248.287;47.928;108.007;0;699.698;6.838;27.727;77.503;191.130;163.942;128.843;0;595.982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.664;1.050;0;0;2.714;3.645;3.778;31.759;33.808;26.225;43.837;0;143.052;75.849;9.418.938;25.920.350;58.535.158;53.477.448;108.296.312;14.737.026;270.461.082;6.433;156.194;277.839;753.889;613.046;862.243;0;2.669.644;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;jun/13;17,39%;0,05%;0,05%;0,23%;0,26%;0,24%;2,17%;0,00%;0,21%;0,46%;0,16%;0,31%;0,58%;1,21%;0,65%;0,00%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,11%;0,02%;0,25%;0,26%;0,61%;2,84%;0,00%;0,28%;7,21%;32,96%;35,08%;39,28%;60,14%;73,92%;56,49%;52,61%;3,43%;1,36%;0,92%;4,05%;19,67%;8,52%;0,00%;3,63%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;jun/13;7.835.831;76.831;198.099;315.016;209.881;23.144;859;0;823.830;31.120;669.444;974.378;1.693.400;511.571;176.795;1.548;4.058.257;15;5.909;317;0;0;0;0;6.241;8.284;63.149;23.062;12.805;0;0;0;107.299;0;0;0;0;0;0;0;0;2.109;13.154;19.172;18.075;2.127;1.202;0;55.838;6.999;89.936;348.531;931.146;467.667;572.363;8.272;2.424.915;561;1.837;9.791;36.434;45.487;126.763;0;220.872;127;8.629;129.475;193;145;10;0;138.579
n1%;n1 - Não Bancário de Crédito;jun/13;0,50%;0,92%;0,19%;0,31%;0,22%;0,11%;0,02%;0,00%;0,24%;2,11%;3,98%;3,88%;5,15%;3,79%;0,89%;0,06%;3,61%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,57%;0,12%;0,16%;0,55%;0,00%;0,00%;0,00%;0,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,09%;0,15%;0,14%;0,05%;0,08%;0,00%;0,11%;0,67%;0,31%;0,47%;0,62%;0,53%;0,39%;0,03%;0,47%;0,30%;0,02%;0,03%;0,20%;1,46%;1,25%;0,00%;0,30%;0,19%;0,35%;1,43%;0,00%;0,00%;0,00%;0,00%;0,34%
n2;n2 - Não Bancário de Mercado de Capitais;jun/13;1.213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;1.079;1.213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;C - Conglomerado;jun/13;1.090.145.174;5.610.459;57.428.517;92.140.546;84.615.426;18.476.081;4.302.627;59.222;262.632.878;781.163;12.216.558;19.684.268;26.485.932;11.752.465;19.085.668;2.643.274;92.649.329;2.840.862;34.401.610;8.259.723;1.074.615;173.657;53.921;87.283;46.891.672;1.295.483;46.511.069;9.841.162;2.304.083;152.254;106.883;944;60.211.879;589.672;24.639.872;33.030.936;18.883.012;4.889.940;2.070.831;8.546;84.112.809;3.011.900;12.615.129;11.045.792;11.986.052;3.806.910;1.110.166;67.865;43.643.814;619.942;14.248.423;38.793.698;73.757.734;26.398.490;20.612.444;5.053.232;179.483.963;103.885;9.628.093;27.250.016;17.245.780;2.304.603;8.916.030;34.839;65.483.246;45.500;1.427.265;7.664.446;16.644.947;3.663.337;4.427.765;1.347;33.874.606
n4%;C - Conglomerado;jun/13;69,06%;67,30%;54,55%;89,87%;88,66%;91,08%;86,32%;43,94%;77,94%;53,02%;72,58%;78,43%;80,48%;86,99%;96,34%;99,67%;82,51%;77,84%;91,90%;62,12%;90,12%;83,22%;98,63%;16,28%;83,18%;88,42%;86,27%;69,42%;99,17%;99,83%;100,00%;99,88%;83,47%;96,49%;93,85%;91,10%;93,86%;58,29%;23,86%;100,00%;83,85%;88,31%;82,83%;86,25%;91,67%;88,60%;71,85%;80,49%;86,51%;58,96%;49,87%;52,50%;49,49%;29,69%;14,07%;19,37%;34,91%;55,42%;83,99%;90,72%;92,60%;73,96%;88,09%;98,60%;88,99%;69,37%;57,71%;84,93%;79,79%;92,04%;97,13%;10,63%;82,67%
C;I - Instituição independente;jun/13;488.500.590;2.725.864;47.846.170;10.383.084;10.826.275;1.808.463;682.071;75.560;74.347.487;692.131;4.615.040;5.414.269;6.423.107;1.758.197;725.303;8.815;19.636.862;808.593;3.032.196;5.036.658;117.764;35.027;749;448.872;9.479.859;169.652;7.400.722;4.336.040;19.350;265;0;1;11.926.031;21.460;1.615.806;3.226.115;1.235.088;3.498.630;6.608.097;0;16.205.195;398.627;2.614.584;1.761.085;1.089.557;489.891;435.038;16.452;6.805.235;431.447;14.324.732;35.104.397;75.267.893;62.526.607;125.901.701;21.035.553;334.592.329;83.580;1.835.045;2.787.665;1.377.765;811.562;1.205.899;495;8.102.012;20.087;1.045.874;1.359.891;4.216.139;316.666;130.778;11.326;7.100.761
C%;I - Instituição independente;jun/13;30,94%;32,70%;45,45%;10,13%;11,34%;8,92%;13,68%;56,06%;22,06%;46,98%;27,42%;21,57%;19,52%;13,01%;3,66%;0,33%;17,49%;22,16%;8,10%;37,88%;9,88%;16,78%;1,37%;83,72%;16,82%;11,58%;13,73%;30,58%;0,83%;0,17%;0,00%;0,12%;16,53%;3,51%;6,15%;8,90%;6,14%;41,71%;76,14%;0,00%;16,15%;11,69%;17,17%;13,75%;8,33%;11,40%;28,15%;19,51%;13,49%;41,04%;50,13%;47,50%;50,51%;70,31%;85,93%;80,63%;65,09%;44,58%;16,01%;9,28%;7,40%;26,04%;11,91%;1,40%;11,01%;30,63%;42,29%;15,07%;20,21%;7,96%;2,87%;89,37%;17,33%
I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
