cat;Categoria;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;127.128.250;1.486.905;46.875.414;29.244.617;10.759.118;4.935.842;220.430.146;-83.463.457;-51.763.085;-1.062.123;-183.946;-25.452.381;-161.924.991;58.505.154;28.646.866;12.444.820;-29.210.999;-29.430.363;-6.974.830;11.791.589;38.202.610;-44.723.744;-19.254.052;39.251.103;1.841.676;41.092.779;-5.842.864;-5.356.166;29.893.749;0
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;81,07%;55,13%;84,68%;86,96%;96,04%;99,05%;83,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;77,93%;70,13%;90,41%;0,00%;0,00%;0,00%;58,24%;90,75%;0,00%;0,00%;67,94%;98,96%;68,91%;0,00%;0,00%;65,12%;0,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;3.940.847;697.403;-7.548;816.774;326.398;0;5.773.874;-1.011.920;-1.040.950;-566.870;-16;-817.898;-3.437.653;2.336.221;745.679;247.741;-476.641;-1.018.822;-238.413;82.142;259.253;-529.409;-928.470;1.407.751;7.511;1.415.262;-674.647;-32.984;707.631;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,51%;25,86%;-0,01%;2,43%;2,91%;0,00%;2,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,11%;1,83%;1,80%;0,00%;0,00%;0,00%;0,41%;0,62%;0,00%;0,00%;2,44%;0,40%;2,37%;0,00%;0,00%;1,54%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;8.511.384;0;1.808.850;0;0;6.886;10.327.120;-2.248.817;-794.601;0;0;-1.341.922;-4.385.340;5.941.781;1.518.677;558.631;-2.267.421;-2.145.308;-43.169;3.769;540.172;-938.084;-2.772.732;3.169.049;9.549;3.178.598;-78.959;-206.808;2.892.831;-105.976
b3S%;b3S - Cooperativa de Crédito Singulares;5,43%;0,00%;3,27%;0,00%;0,00%;0,14%;3,90%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;7,91%;3,72%;4,06%;0,00%;0,00%;0,00%;0,02%;1,28%;0,00%;0,00%;5,49%;0,51%;5,33%;0,00%;0,00%;6,30%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;131.283;0;1.276.765;0;0;96;1.408.144;-1.270.763;-71.110;0;0;-9.297;-1.351.170;56.974;17.201;45;-181.307;273.157;-961;48.096;105.887;-254.722;7.396;64.370;433;64.803;-1.385;-4.061;59.357;-7.310
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;0,08%;0,00%;2,31%;0,00%;0,00%;0,00%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,08%;0,04%;0,00%;0,00%;0,00%;0,00%;0,24%;0,25%;0,00%;0,00%;0,11%;0,02%;0,11%;0,00%;0,00%;0,13%;0,00%
b4;b4 - Banco de Desenvolvimento;13.380.719;0;4.045.486;3.036.713;23.953;0;20.486.871;-1.093.041;-14.018.559;0;0;180.472;-14.931.128;5.555.743;157.869;6.508;-430.615;-85.893;-213.896;7.335.336;174.489;-319.491;6.624.307;12.180.050;2.599;12.182.649;-747.468;-7.541;11.427.640;0
b4%;b4 - Banco de Desenvolvimento;8,53%;0,00%;7,31%;9,03%;0,21%;0,00%;7,74%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;7,40%;0,39%;0,05%;0,00%;0,00%;0,00%;36,23%;0,41%;0,00%;0,00%;21,08%;0,14%;20,43%;0,00%;0,00%;24,89%;0,00%
n1;n1 - Não Bancário de Crédito;3.914.531;512.920;266.044;471.725;453;40.154;5.205.828;-794.636;-282.354;-386.456;-9;-1.333.971;-2.797.427;2.408.401;479.492;259.158;-357.952;-1.039.981;-228.868;7.821;296.827;-742.845;-1.326.348;1.082.054;13.148;1.095.202;-471.693;-10.990;612.518;0
n1%;n1 - Não Bancário de Crédito;2,50%;19,02%;0,48%;1,40%;0,00%;0,81%;1,97%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,21%;1,17%;1,88%;0,00%;0,00%;0,00%;0,04%;0,71%;0,00%;0,00%;1,87%;0,71%;1,84%;0,00%;0,00%;1,33%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;866;0;204.641;6.956;92.768;0;305.232;-54.195;-586;0;-6.232;-2.261;-63.275;241.958;534.806;59.409;-273.517;-395.323;-61.133;1.128;28.483;-24.216;-130.363;111.595;544;112.138;-45.230;-48.197;18.711;0
n2%;n2 - Não Bancário de Mercado de Capitais;0,00%;0,00%;0,37%;0,02%;0,83%;0,00%;0,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,32%;1,31%;0,43%;0,00%;0,00%;0,00%;0,01%;0,07%;0,00%;0,00%;0,19%;0,03%;0,19%;0,00%;0,00%;0,04%;0,00%
n4;n4 - Instituições de Pagamento;-195.007;0;883.971;53.370;0;0;742.335;-372.697;-155.921;0;-27.044;-158.166;-713.829;28.507;8.746.014;188.019;-1.549.915;-3.950.379;-1.077.525;978.140;2.487.174;-5.341.576;479.952;508.458;-14.514;493.944;-41.162;-159.147;293.635;0
n4%;n4 - Instituições de Pagamento;-0,12%;0,00%;1,60%;0,16%;0,00%;0,00%;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;21,41%;1,37%;0,00%;0,00%;0,00%;4,83%;5,91%;0,00%;0,00%;0,88%;-0,78%;0,83%;0,00%;0,00%;0,64%;0,00%
S1;S1 - Segmento 1;102.700.282;985.971;35.633.413;18.940.469;5.985.479;4.588.966;168.834.580;-67.146.996;-35.872.965;-677.501;0;-23.105.917;-126.803.380;42.031.201;23.965.178;10.892.973;-22.680.135;-21.670.356;-5.607.739;10.933.960;32.748.756;-38.429.884;-9.847.248;32.183.953;1.487.254;33.671.207;-3.471.980;-4.094.325;26.104.902;0
S1%;S1 - Segmento 1;65,49%;36,55%;64,37%;56,32%;53,43%;92,09%;63,79%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;55,99%;58,67%;79,14%;0,00%;0,00%;0,00%;54,00%;77,80%;0,00%;0,00%;55,71%;79,92%;56,46%;0,00%;0,00%;56,87%;0,00%
S2;S2 - Segmento 2;21.010.712;151.327;7.314.671;6.160.091;629.356;277.493;35.543.649;-8.410.918;-15.805.891;-127.097;0;-711.157;-25.055.064;10.488.584;1.694.440;624.038;-2.886.910;-2.343.383;-678.187;7.938.568;2.480.113;-2.689.283;4.139.396;14.627.981;26.236;14.654.217;-1.646.258;-121.410;12.886.549;0
S2%;S2 - Segmento 2;13,40%;5,61%;13,21%;18,32%;5,62%;5,57%;13,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;13,97%;4,15%;4,53%;0,00%;0,00%;0,00%;39,21%;5,89%;0,00%;0,00%;25,32%;1,41%;24,57%;0,00%;0,00%;28,07%;0,00%
S3;S3 - Segmento 3;15.745.338;383.876;7.310.196;6.982.722;3.334.566;81.433;33.838.131;-8.536.962;-13.103.188;-287.633;-146.804;-1.485.231;-23.559.818;10.278.313;4.325.378;1.012.108;-3.929.827;-4.964.576;-1.000.156;256.832;3.769.104;-4.146.024;-4.677.161;5.601.152;278.254;5.879.406;-2.080.114;-1.169.863;2.629.429;0
S3%;S3 - Segmento 3;10,04%;14,23%;13,21%;20,76%;29,77%;1,63%;12,78%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;13,69%;10,59%;7,35%;0,00%;0,00%;0,00%;1,27%;8,95%;0,00%;0,00%;9,69%;14,95%;9,86%;0,00%;0,00%;5,73%;0,00%
S4;S4 - Segmento 4;12.379.656;1.176.055;3.856.089;1.553.480;1.232.848;27.115;20.225.242;-4.623.315;-2.890.269;-923.218;-70.435;-2.763.099;-11.270.335;8.954.907;7.371.689;835.276;-3.339.164;-5.930.407;-1.202.393;902.154;2.418.749;-6.242.327;-5.186.424;3.768.483;74.842;3.843.325;-701.716;-351.188;2.790.420;-13.442
S4%;S4 - Segmento 4;7,89%;43,60%;6,97%;4,62%;11,00%;0,54%;7,64%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;11,93%;18,05%;6,07%;0,00%;0,00%;0,00%;4,46%;5,75%;0,00%;0,00%;6,52%;4,02%;6,44%;0,00%;0,00%;6,08%;0,00%
S5;S5 - Segmento 5;4.969.679;0;1.018.486;172;20.441;7.972;6.016.750;-1.471.792;-362.763;0;0;-821.583;-2.656.139;3.360.611;1.562.752;357.875;-1.629.489;-2.000.088;-170.232;102.435;552.331;-579.017;-1.803.434;1.557.177;9.590;1.566.767;8.914;-63.348;1.512.334;-99.844
S5%;S5 - Segmento 5;3,17%;0,00%;1,84%;0,00%;0,18%;0,16%;2,27%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,48%;3,83%;2,60%;0,00%;0,00%;0,00%;0,51%;1,31%;0,00%;0,00%;2,70%;0,52%;2,63%;0,00%;0,00%;3,29%;0,00%
C;C - Conglomerado;123.831.994;1.495.950;44.782.054;28.895.335;9.573.335;4.914.380;213.493.049;-82.332.091;-47.240.863;-1.070.334;-146.308;-26.059.386;-156.848.983;56.644.066;28.546.132;12.347.820;-28.243.909;-28.728.279;-6.873.171;11.753.761;37.093.693;-44.158.139;-18.262.092;38.381.975;1.819.985;40.201.960;-5.410.246;-5.333.651;29.458.063;0
C%;C - Conglomerado;78,97%;55,46%;80,90%;85,92%;85,46%;98,62%;80,66%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;75,45%;69,89%;89,71%;0,00%;0,00%;0,00%;58,05%;88,12%;0,00%;0,00%;66,43%;97,80%;67,41%;0,00%;0,00%;64,17%;0,00%
I;I - Instituição independente;32.980.880;1.201.279;10.571.569;4.734.821;1.629.354;68.598;51.186.501;-7.977.435;-20.886.303;-945.115;-70.938;-2.876.036;-32.755.828;18.430.673;12.300.471;1.416.509;-6.504.458;-9.064.634;-1.965.624;8.494.262;5.001.203;-8.715.948;961.781;19.392.454;40.960;19.433.414;-2.493.164;-492.242;16.448.008;-113.286
I%;I - Instituição independente;21,03%;44,54%;19,10%;14,08%;14,54%;1,38%;19,34%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;24,55%;30,11%;10,29%;0,00%;0,00%;0,00%;41,95%;11,88%;0,00%;0,00%;33,57%;2,20%;32,59%;0,00%;0,00%;35,83%;0,00%
1;1 - Público;59.928.825;34.722;22.731.919;8.094.023;684.235;1.904.177;93.377.903;-28.037.210;-29.516.104;-25.330;-199;-9.107.835;-66.686.679;26.691.223;8.958.361;4.073.043;-13.625.861;-6.685.127;-2.508.372;10.613.238;5.940.281;-10.709.385;-3.943.821;22.747.403;199.605;22.947.007;-2.402.004;-819.695;19.725.309;0
1%;1 - Público;38,22%;1,29%;41,07%;24,07%;6,11%;38,21%;35,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;35,55%;21,93%;29,59%;0,00%;0,00%;0,00%;52,42%;14,11%;0,00%;0,00%;39,37%;10,73%;38,48%;0,00%;0,00%;42,97%;0,00%
2;2 - Privado Nacional;71.450.402;971.375;25.633.380;13.353.862;5.709.478;2.240.466;119.358.962;-47.519.511;-19.510.000;-649.770;-134.251;-14.745.995;-82.559.527;36.799.435;25.526.597;7.974.290;-16.953.270;-25.516.212;-4.904.762;8.923.365;22.585.468;-28.270.113;-10.634.638;26.164.797;1.610.767;27.775.564;-4.017.196;-4.347.447;19.410.921;-113.286
2%;2 - Privado Nacional;45,56%;36,01%;46,31%;39,71%;50,97%;44,96%;45,10%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;49,02%;62,49%;57,93%;0,00%;0,00%;0,00%;44,07%;53,65%;0,00%;0,00%;45,29%;86,56%;46,58%;0,00%;0,00%;42,28%;0,00%
3;3 - Privado com Controle Estrangeiro;25.433.647;1.691.132;6.988.325;12.182.271;4.808.976;838.335;51.942.686;-14.752.805;-19.101.061;-1.340.349;-82.797;-5.081.592;-40.358.605;11.584.081;6.361.646;1.716.996;-4.169.236;-5.591.574;-1.425.660;711.419;13.569.147;-13.894.589;-2.721.852;8.862.229;50.574;8.912.803;-1.484.210;-658.752;6.769.841;0
3%;3 - Privado com Controle Estrangeiro;16,22%;62,70%;12,62%;36,22%;42,93%;16,82%;19,62%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,43%;15,57%;12,47%;0,00%;0,00%;0,00%;3,51%;32,23%;0,00%;0,00%;15,34%;2,72%;14,95%;0,00%;0,00%;14,75%;0,00%
