Categoria;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1 - Público;1.174.231.380;1.571.471;11.072.166;30.700.625;68.504.728;50.964.117;55.702.601;1.357.122;219.872.830;1.255.569;6.216.520;15.217.066;20.471.149;7.743.365;4.094.642;388.997;55.387.307;51.785;509.393;1.365.344;2.127.338;525.684;588;97.891;4.678.024;934.729;14.978.832;41.339.510;96.994.036;80.612.734;239.507.770;111.765.503;586.133.115;3.443.031;39.169.510;9.736.527;585.466;26.832;26.376;208.058;53.195.801;1.416.593;19.359.020;79.327.004;60.562.511;31.968.456;27.126.451;285.208;220.045.242;1.986.107;8.160.580;8.544.323;4.645.170;3.035.659;3.954.625;349.806;30.676.271;4.242.790
1 - Público;44,16%;39,63%;34,69%;34,53%;39,17%;47,14%;60,81%;99,79%;43,91%;22,80%;19,80%;23,91%;29,03%;32,45%;45,55%;82,38%;27,10%;1,73%;1,75%;1,84%;1,92%;2,64%;0,65%;95,59%;1,97%;84,36%;71,16%;70,64%;71,00%;71,72%;73,85%;78,33%;73,57%;14,92%;17,66%;11,56%;7,87%;4,59%;13,13%;99,97%;15,76%;80,93%;62,91%;62,06%;61,82%;64,73%;72,28%;98,36%;63,69%;23,91%;22,66%;22,65%;13,36%;19,77%;34,44%;51,44%;21,25%;4,60%
2 - Privado Nacional;1.127.980.584;1.424.108;16.468.782;46.350.896;84.878.232;45.196.129;27.300.166;1.705;221.620.019;3.455.759;22.690.876;42.227.549;41.306.316;13.369.430;4.130.790;65.640;127.246.360;1.960.788;17.942.414;45.514.963;67.886.408;12.074.217;52.719;35;145.431.543;130.524;4.562.361;12.834.841;29.624.472;23.834.434;64.231.450;23.755.044;158.973.125;15.094.359;143.896.000;58.974.432;5.019.890;281.539;29.625;25;223.295.870;191.554;8.982.529;39.547.244;26.429.862;11.423.856;8.090.735;171;94.665.951;4.276.856;19.294.241;18.346.456;19.408.091;6.997.199;3.888.439;168.985;72.380.267;84.367.448
2 - Privado Nacional;42,42%;35,92%;51,60%;52,13%;48,53%;41,81%;29,80%;0,13%;44,26%;62,77%;72,26%;66,35%;58,57%;56,03%;45,95%;13,90%;62,26%;65,57%;61,56%;61,35%;61,14%;60,61%;58,28%;0,03%;61,24%;11,78%;21,68%;21,93%;21,69%;21,21%;19,80%;16,65%;19,95%;65,41%;64,89%;70,03%;67,44%;48,21%;14,75%;0,01%;66,17%;10,94%;29,19%;30,94%;26,98%;23,13%;21,56%;0,06%;27,40%;51,48%;53,57%;48,64%;55,80%;45,56%;33,86%;24,85%;50,14%;91,54%
3 - Privado com Controle Estrangeiro;356.606.490;969.397;4.373.575;11.867.722;21.514.516;11.942.468;8.601.254;1.207;59.270.139;794.457;2.492.203;6.196.740;8.746.440;2.747.652;764.711;17.533;21.759.736;977.737;10.693.754;27.311.036;41.025.056;7.321.186;37.148;4.483;87.370.400;42.830;1.507.708;4.347.118;9.992.779;7.950.404;20.582.381;7.162.493;51.585.714;4.537.461;38.683.526;15.502.264;1.838.546;275.580;144.905;44;60.982.326;142.168;2.428.791;8.943.939;10.965.966;5.995.933;2.314.221;4.577;30.795.597;2.044.458;8.564.579;10.825.454;10.727.116;5.325.730;3.639.422;161.247;41.288.006;3.554.572
3 - Privado com Controle Estrangeiro;13,41%;24,45%;13,70%;13,35%;12,30%;11,05%;9,39%;0,09%;11,84%;14,43%;7,94%;9,74%;12,40%;11,52%;8,51%;3,71%;10,65%;32,70%;36,69%;36,81%;36,95%;36,75%;41,07%;4,38%;36,79%;3,87%;7,16%;7,43%;7,31%;7,07%;6,35%;5,02%;6,47%;19,66%;17,44%;18,41%;24,70%;47,19%;72,13%;0,02%;18,07%;8,12%;7,89%;7,00%;11,19%;12,14%;6,17%;1,58%;8,91%;24,61%;23,78%;28,70%;30,84%;34,68%;31,70%;23,71%;28,60%;3,86%
b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;2.388.323.044;3.883.830;30.752.570;85.649.720;168.667.874;104.429.653;88.040.598;1.359.293;482.783.538;4.398.938;22.884.945;46.424.793;53.825.928;18.791.520;6.430.361;407.641;153.164.125;2.667.506;24.511.232;62.185.698;92.636.461;16.777.784;68.052;102.410;198.949.143;1.090.433;20.950.242;58.242.644;135.964.854;111.864.019;322.693.449;141.902.615;792.708.257;17.676.333;180.549.785;69.297.929;6.427.242;556.494;200.903;208.127;274.916.812;1.617.182;24.047.478;94.094.126;77.045.951;39.869.469;32.408.205;287.974;269.370.386;7.532.087;31.492.697;32.340.271;30.013.658;13.006.056;9.241.695;639.508;124.265.973;92.164.810
b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;89,83%;97,95%;96,36%;96,32%;96,44%;96,60%;96,11%;99,95%;96,41%;79,90%;72,88%;72,95%;76,32%;78,76%;71,53%;86,33%;74,94%;89,20%;84,10%;83,82%;83,43%;84,22%;75,23%;100,00%;83,78%;98,41%;99,53%;99,52%;99,53%;99,53%;99,50%;99,45%;99,50%;76,60%;81,42%;82,29%;86,34%;95,30%;100,00%;100,00%;81,46%;92,39%;78,15%;73,62%;78,65%;80,73%;86,35%;99,32%;77,96%;90,67%;87,43%;85,75%;86,29%;84,68%;80,49%;94,04%;86,09%;100,00%
b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;53.759.348;1.357;10.837;28.769;36.053;6.739;789;0;84.544;27.031;84.555;168.017;226.132;44.241;7.043;0;557.019;238.461;3.408.018;8.607.121;12.533.088;1.864.363;5.895;0;26.656.946;0;0;0;0;0;0;0;0;1.942.480;8.145.249;3.521.069;567.334;7;0;0;14.176.139;23.240;341.384;2.856.763;4.746.552;2.725.755;802.981;1.811;11.498.486;3.068;596.575;49.333;72.895;38.528;25.814;0;786.213;0
b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,02%;0,03%;0,03%;0,03%;0,02%;0,01%;0,00%;0,00%;0,02%;0,49%;0,27%;0,26%;0,32%;0,19%;0,08%;0,00%;0,27%;7,97%;11,69%;11,60%;11,29%;9,36%;6,52%;0,00%;11,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,42%;3,67%;4,18%;7,62%;0,00%;0,00%;0,00%;4,20%;1,33%;1,11%;2,24%;4,85%;5,52%;2,14%;0,62%;3,33%;0,04%;1,66%;0,13%;0,21%;0,25%;0,22%;0,00%;0,54%;0,00%
b3S - Cooperativa de Crédito Singulares;148.609.003;40.435;895.340;2.593.633;5.216.779;3.210.927;3.315.141;736;15.272.991;334.250;5.341.669;12.730.085;15.284.896;4.950.960;2.516.875;62.429;41.221.163;26.036;764.882;2.166.046;3.903.510;1.036.095;15.964;0;7.912.534;288;32.814;105.041;250.138;204.366;557.784;123.141;1.273.573;198.805;3.267.978;1.081.962;5.629;0;0;0;4.554.373;90.742;6.078.941;30.090.782;14.527.812;5.938.473;3.593.716;171;60.320.636;495.024;3.620.097;5.037.249;4.525.471;2.255.924;2.106.183;13.784;18.053.732;0
b3S - Cooperativa de Crédito Singulares;5,59%;1,02%;2,81%;2,92%;2,98%;2,97%;3,62%;0,05%;3,05%;6,07%;17,01%;20,00%;21,67%;20,75%;28,00%;13,22%;20,17%;0,87%;2,62%;2,92%;3,52%;5,20%;17,65%;0,00%;3,33%;0,03%;0,16%;0,18%;0,18%;0,18%;0,17%;0,09%;0,16%;0,86%;1,47%;1,28%;0,08%;0,00%;0,00%;0,00%;1,35%;5,18%;19,76%;23,54%;14,83%;12,02%;9,58%;0,06%;17,46%;5,96%;10,05%;13,36%;13,01%;14,69%;18,34%;2,03%;12,51%;0,00%
b3C - Central e Confederação de Cooperativas de Crédito;2.400;0;0;0;0;0;0;0;0;74;24;1.150;1.114;8;15;0;2.385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0
b3C - Central e Confederação de Cooperativas de Crédito;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4 - Banco de Desenvolvimento;3.416.440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.359;239.794;603.131;1.295.749;659.176;535.254;0;3.348.464;133;4.752;11.525;26.037;11.618;13.911;0;67.976;0
b4 - Banco de Desenvolvimento;0,13%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,88%;0,78%;0,47%;1,32%;1,33%;1,43%;0,00%;0,97%;0,00%;0,01%;0,03%;0,07%;0,08%;0,12%;0,00%;0,05%;0,00%
n1 - Não Bancário de Crédito;42.928.235;39.353;255.777;647.121;976.770;455.396;247.493;5;2.621.915;745.492;3.088.407;4.317.311;1.185.834;73.718;35.849;2.101;9.448.711;58.307;461.428;1.232.478;1.965.743;242.845;544;0;3.961.345;17.363;65.844;173.784;396.296;329.186;1.070.368;657.284;2.710.124;3.227.262;13.526.078;5.458.451;246.448;27.443;3;0;22.485.685;3.778;62.743;173.384;342.275;195.372;191.252;0;968.803;46.932;150.628;233.980;137.752;46.463;94.884;21.014;731.651;0
n1 - Não Bancário de Crédito;1,61%;0,99%;0,80%;0,73%;0,56%;0,42%;0,27%;0,00%;0,52%;13,54%;9,84%;6,78%;1,68%;0,31%;0,40%;0,44%;4,62%;1,95%;1,58%;1,66%;1,77%;1,22%;0,60%;0,00%;1,67%;1,57%;0,31%;0,30%;0,29%;0,29%;0,33%;0,46%;0,34%;13,99%;6,10%;6,48%;3,31%;4,70%;0,00%;0,00%;6,66%;0,22%;0,20%;0,14%;0,35%;0,40%;0,51%;0,00%;0,28%;0,56%;0,42%;0,62%;0,40%;0,30%;0,83%;3,09%;0,51%;0,00%
n2 - Não Bancário de Mercado de Capitais;5.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.732;5.732;0
n2 - Não Bancário de Mercado de Capitais;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,84%;0,00%;0,00%
n4 - Instituições de Pagamento;21.774.253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.972;16.259.946;4.853.813;197.249;7;0;0;21.340.987;0;0;0;0;0;0;0;0;230.178;154.650;43.874;4.565;0;0;0;433.266;0
n4 - Instituições de Pagamento;0,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,13%;7,33%;5,76%;2,65%;0,00%;0,00%;0,00%;6,32%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,77%;0,43%;0,12%;0,01%;0,00%;0,00%;0,00%;0,30%;0,00%
C - Conglomerado;2.345.786.987;3.861.104;30.233.571;83.962.643;165.487.676;102.535.939;85.817.646;1.359.288;473.257.867;4.439.866;23.836.484;47.838.907;53.628.037;18.534.933;6.351.046;406.131;155.035.404;2.711.230;25.157.393;63.886.342;95.077.200;16.909.498;67.672;102.408;203.911.743;1.088.555;20.921.296;58.167.217;135.777.886;111.696.761;322.056.598;141.370.589;791.078.902;18.741.558;186.678.250;72.054.554;6.544.864;583.925;200.906;208.124;285.012.182;1.441.023;21.925.256;87.131.303;67.535.799;34.558.382;28.487.108;272.911;241.351.782;7.125.579;26.398.372;24.300.271;25.435.169;11.439.886;8.652.483;622.538;103.974.296;92.164.810
C - Conglomerado;88,23%;97,38%;94,73%;94,43%;94,62%;94,85%;93,68%;99,95%;94,51%;80,64%;75,91%;75,17%;76,04%;77,68%;70,64%;86,01%;75,85%;90,67%;86,32%;86,11%;85,63%;84,88%;74,81%;100,00%;85,86%;98,24%;99,39%;99,39%;99,39%;99,38%;99,30%;99,08%;99,30%;81,22%;84,18%;85,56%;87,92%;100,00%;100,00%;100,00%;84,45%;82,33%;71,25%;68,17%;68,94%;69,97%;75,90%;94,12%;69,85%;85,77%;73,29%;64,43%;73,13%;74,49%;75,35%;91,54%;72,03%;100,00%
I - Instituição independente;313.031.467;103.871;1.680.953;4.956.600;9.409.800;5.566.775;5.786.375;747;27.505.121;1.065.918;7.563.116;15.802.447;16.895.868;5.325.514;2.639.096;66.040;49.357.999;279.080;3.988.168;10.305.001;15.961.602;3.011.589;22.783;2;33.568.225;19.528;127.605;354.252;833.402;700.811;2.265.003;1.312.451;5.613.052;4.333.293;35.070.786;12.158.670;899.038;26;0;2;52.461.815;309.292;8.845.084;40.686.884;30.422.540;14.829.864;9.044.299;17.045;104.155.008;1.181.842;9.621.029;13.415.961;9.345.209;3.918.703;2.830.004;57.500;40.370.248;0
I - Instituição independente;11,77%;2,62%;5,27%;5,57%;5,38%;5,15%;6,32%;0,05%;5,49%;19,36%;24,09%;24,83%;23,96%;22,32%;29,36%;13,99%;24,15%;9,33%;13,68%;13,89%;14,37%;15,12%;25,19%;0,00%;14,14%;1,76%;0,61%;0,61%;0,61%;0,62%;0,70%;0,92%;0,70%;18,78%;15,82%;14,44%;12,08%;0,00%;0,00%;0,00%;15,55%;17,67%;28,75%;31,83%;31,06%;30,03%;24,10%;5,88%;30,15%;14,23%;26,71%;35,57%;26,87%;25,51%;24,65%;8,46%;27,97%;0,00%
